"MS.Zoning","Overall.Qual","Year.Built","Year.Remod.Add","Exter.Qual","Exter.Cond","Garage.Qual","Garage.Cond","Sale.Type","Sale.Condition","SalePrice"
"RL",6,1960,1960,"TA","TA","TA","TA","WD ","Normal",215000
"RH",5,1961,1961,"TA","TA","TA","TA","WD ","Normal",105000
"RL",6,1958,1958,"TA","TA","TA","TA","WD ","Normal",172000
"RL",7,1968,1968,"Gd","TA","TA","TA","WD ","Normal",244000
"RL",5,1997,1998,"TA","TA","TA","TA","WD ","Normal",189900
"RL",6,1998,1998,"TA","TA","TA","TA","WD ","Normal",195500
"RL",8,2001,2001,"Gd","TA","TA","TA","WD ","Normal",213500
"RL",8,1992,1992,"Gd","TA","TA","TA","WD ","Normal",191500
"RL",8,1995,1996,"Gd","TA","TA","TA","WD ","Normal",236500
"RL",7,1999,1999,"TA","TA","TA","TA","WD ","Normal",189000
"RL",6,1993,1994,"TA","TA","TA","TA","WD ","Normal",175900
"RL",6,1992,2007,"TA","Gd","TA","TA","WD ","Normal",185000
"RL",6,1998,1998,"TA","TA","TA","TA","WD ","Normal",180400
"RL",7,1990,1990,"TA","TA","TA","TA","WD ","Normal",171500
"RL",8,1985,1985,"Gd","TA","TA","TA","WD ","Normal",212000
"RL",8,2003,2003,"Ex","TA","TA","TA","WD ","Normal",538000
"RL",8,1988,2005,"Gd","TA","TA","TA","WD ","Normal",164000
"RL",9,2010,2010,"Gd","TA","TA","TA","New","Partial",394432
"RL",4,1951,1951,"TA","TA","TA","TA","WD ","Normal",141000
"RL",6,1978,1988,"TA","TA","TA","TA","WD ","Normal",210000
"RL",6,1977,1977,"TA","TA","TA","TA","COD","Normal",190000
"RL",7,1974,1974,"TA","TA","TA","TA","WD ","Family",170000
"FV",7,2000,2000,"Gd","TA","TA","TA","WD ","Normal",216000
"RL",6,1970,1970,"TA","TA","TA","TA","WD ","Normal",149000
"RL",5,1971,2008,"TA","TA","TA","TA","WD ","Normal",149900
"RL",5,1968,1968,"TA","TA","TA","TA","WD ","Normal",142000
"RL",4,1970,1970,"TA","TA","TA","TA","WD ","Normal",126000
"RL",4,1971,1971,"TA","TA",NA,NA,"ConLI","Normal",115000
"RH",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",184000
"RM",6,1971,1971,"TA","TA","TA","TA","COD","Normal",96000
"RM",5,1971,1971,"TA","TA","TA","TA","WD ","Normal",105500
"RM",6,1971,1971,"TA","TA","TA","TA","WD ","Family",88000
"RL",6,1977,1977,"TA","TA","TA","TA","WD ","Normal",127500
"RL",6,1975,1975,"TA","TA","TA","TA","WD ","Normal",149900
"RL",7,1975,1975,"TA","TA","TA","TA","WD ","Normal",120000
"RL",6,1978,1978,"TA","TA","TA","TA","WD ","Normal",146000
"RL",9,2009,2010,"Ex","TA","TA","TA","New","Partial",376162
"RL",8,2007,2008,"Gd","TA","TA","TA","WD ","Normal",306000
"RL",9,2009,2010,"Ex","TA","TA","TA","New","Partial",395192
"RL",8,2009,2010,"Gd","TA","TA","TA","New","Partial",290941
"RL",7,2005,2005,"Gd","TA","TA","TA","New","Partial",220000
"RL",9,2005,2005,"Gd","TA","TA","TA","WD ","Normal",275000
"RL",8,2005,2006,"Gd","TA","TA","TA","WD ","Normal",259000
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",214000
"RL",9,2009,2010,"Ex","TA","TA","TA","New","Partial",611657
"RL",7,2009,2010,"Gd","TA","TA","TA","New","Partial",224000
"RL",9,2003,2004,"Ex","TA","TA","TA","WD ","Normal",500000
"RL",8,2002,2002,"Gd","TA","TA","TA","WD ","Normal",320000
"RL",9,2005,2005,"Ex","TA","TA","TA","WD ","Normal",319900
"RL",8,2006,2006,"Gd","TA","TA","TA","WD ","Normal",205000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",175500
"RL",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",199500
"RL",7,2006,2006,"Gd","TA","TA","TA","WD ","Normal",160000
"RL",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",192000
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",184500
"RL",6,2002,2002,"Gd","TA","TA","TA","WD ","Normal",216500
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",185088
"RL",7,2000,2000,"TA","TA","TA","TA","WD ","Normal",180000
"RL",7,2001,2001,"Gd","TA","TA","TA","WD ","Normal",222500
"RL",9,1999,1999,"Gd","TA","TA","TA","WD ","Normal",333168
"RL",8,1998,1998,"Gd","TA","TA","TA","WD ","Normal",355000
"RL",7,1996,1996,"Gd","TA","TA","TA","WD ","Normal",260400
"RL",8,1994,1995,"Gd","TA","TA","TA","WD ","Normal",325000
"RL",8,1999,2007,"Gd","TA","TA","TA","WD ","Normal",290000
"RL",7,1998,1998,"Gd","TA","TA","TA","WD ","Normal",221000
"RL",8,1995,1996,"Gd","TA","TA","TA","WD ","Normal",410000
"RL",8,2005,2006,"Gd","TA","TA","TA","WD ","Normal",221500
"FV",7,2009,2010,"Gd","TA","TA","TA","New","Partial",204500
"FV",7,2009,2009,"TA","TA","TA","TA","Con","Normal",215200
"FV",8,2008,2008,"Gd","TA","TA","TA","WD ","Normal",262500
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",254900
"FV",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",271500
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",233000
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",181000
"RL",7,1994,2002,"Gd","TA","TA","TA","WD ","Normal",205000
"RL",6,1980,1980,"TA","TA","TA","TA","WD ","Normal",143000
"RL",6,1992,1992,"Gd","TA","TA","TA","WD ","Normal",189000
"RL",6,1979,1979,"TA","TA","TA","TA","WD ","Normal",99500
"RL",6,1984,1984,"TA","TA","TA","TA","WD ","Normal",125000
"RL",7,1993,2003,"Gd","TA","TA","TA","WD ","Normal",194500
"RL",6,1984,1985,"TA","TA","TA","TA","WD ","Normal",152000
"RL",6,1980,1981,"TA","TA","TA","TA","WD ","Normal",171000
"RH",5,1920,1950,"TA","Fa","TA","TA","WD ","Normal",67500
"RM",6,1978,1978,"TA","TA","TA","TA","WD ","Normal",112000
"RL",5,1961,1995,"TA","TA","TA","TA","WD ","Normal",148000
"RL",5,1965,2009,"TA","Gd","TA","TA","WD ","Normal",138500
"RL",5,1967,1967,"TA","Gd","TA","TA","WD ","Normal",122000
"RL",5,1963,1963,"TA","TA","TA","TA","WD ","Normal",133000
"RL",5,1962,2010,"TA","Gd","TA","TA","WD ","Normal",127000
"RL",6,1974,2002,"TA","Gd","TA","TA","WD ","Abnorml",169000
"RL",7,1992,1992,"Gd","TA","TA","TA","WD ","Normal",190000
"RL",8,1993,1993,"Gd","TA","TA","TA","WD ","Normal",362500
"RL",8,1992,1993,"Gd","TA","TA","TA","WD ","Normal",285000
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",260000
"FV",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",190000
"FV",7,2004,2004,"Gd","TA","TA","TA","ConLD","Normal",155000
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",151000
"FV",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",149500
"FV",6,2005,2005,"Gd","TA","TA","TA","WD ","Normal",152000
"FV",7,2009,2009,"Ex","TA","TA","TA","New","Partial",222000
"FV",6,2000,2000,"Gd","TA","TA","TA","WD ","Normal",177500
"FV",6,2000,2000,"Gd","TA","TA","TA","WD ","Normal",177000
"FV",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",155000
"FV",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",147110
"FV",8,2010,2010,"Gd","TA","TA","TA","New","Partial",267916
"FV",8,2000,2000,"Gd","TA","TA","TA","WD ","Normal",254000
"RL",8,1980,1980,"Gd","TA","TA","TA","WD ","Normal",155000
"RL",8,1978,1978,"Gd","TA","TA","TA","WD ","Normal",206000
"RL",6,1976,2005,"Gd","TA","TA","TA","WD ","Normal",130500
"FV",7,2002,2002,"Gd","TA","TA","TA","WD ","Normal",230000
"RL",6,1967,1967,"TA","TA","TA","TA","WD ","Normal",218500
"RL",6,1993,1993,"TA","TA","TA","TA","WD ","Normal",243500
"RL",6,1977,2001,"TA","TA","TA","TA","WD ","Normal",205000
"RL",6,1978,1978,"TA","TA","TA","TA","WD ","Normal",212500
"RL",7,1988,1988,"TA","TA","TA","TA","WD ","Normal",196500
"RL",6,1972,2006,"TA","TA","TA","TA","WD ","Normal",197500
"RL",6,1971,1971,"TA","TA","TA","TA","WD ","Normal",171000
"RL",5,1966,1966,"TA","TA","TA","TA","WD ","Normal",142250
"RL",6,1963,1963,"TA","TA","TA","TA","WD ","Normal",143000
"RL",4,1959,1959,"TA","TA",NA,NA,"WD ","Normal",128950
"RL",5,1966,1966,"TA","TA","TA","TA","ConLD","Normal",159000
"RL",5,1967,1967,"TA","TA","TA","TA","WD ","Normal",178900
"RL",6,1964,1964,"TA","TA","TA","TA","COD","Family",136300
"RL",5,1964,1964,"TA","TA","TA","TA","WD ","Normal",180500
"RL",6,1963,1963,"TA","Gd","TA","TA","WD ","Abnorml",137500
"RL",5,1962,2001,"TA","TA",NA,NA,"Oth","Abnorml",84900
"RL",5,1950,1996,"TA","TA","TA","TA","WD ","Normal",142125
"RL",5,1952,2002,"Gd","TA","TA","TA","WD ","Normal",197600
"RL",6,1949,1950,"TA","Gd","TA","TA","WD ","Normal",172500
"RL",5,1958,2008,"TA","Gd",NA,NA,"WD ","Normal",116500
"RL",3,1940,1966,"TA","Po",NA,NA,"WD ","Normal",76500
"RL",5,1954,1954,"TA","TA","TA","TA","WD ","Normal",128000
"RL",6,1955,1972,"TA","TA","TA","TA","WD ","Normal",153000
"RL",5,1954,1954,"TA","TA","TA","TA","WD ","Normal",132000
"RL",6,1966,2008,"TA","TA","TA","TA","WD ","Normal",178000
"RL",5,1960,1960,"TA","TA","TA","TA","WD ","Normal",154300
"RL",7,1970,1989,"TA","TA","TA","TA","WD ","Normal",180000
"RL",6,1966,2002,"Gd","TA","TA","TA","WD ","Normal",190000
"RL",5,1958,1958,"TA","TA","TA","TA","WD ","Normal",135000
"RL",7,2003,2009,"Gd","TA","TA","TA","WD ","Normal",214000
